date,symbol,eps,epsestimated,time,revenue,revenueestimated,updatedfromdate,fiscaldateending,ticker,time_raw,is_amc,is_bmo
2010-04-27,MMM,1.4,1.21,bmo,6348000000.0,5486485714.0,2025-04-25,2010-03-31,MMM,bmo,False,True
2010-07-22,MMM,1.54,1.48,bmo,6731000000.0,6468753246.0,2025-04-25,2010-06-30,MMM,bmo,False,True
2010-10-28,MMM,1.53,1.51,bmo,6874000000.0,6784143790.0,2025-04-25,2010-09-30,MMM,bmo,False,True
2011-01-25,MMM,1.28,1.27,bmo,6709000000.0,6656585937.0,2025-04-25,2010-12-31,MMM,bmo,False,True
2011-04-26,MMM,1.49,1.44,bmo,7311000000.0,7065664429.0,2025-04-25,2011-03-31,MMM,bmo,False,True
2011-07-26,MMM,1.6,1.6,bmo,7680000000.0,7680000000.0,2025-04-25,2011-06-30,MMM,bmo,False,True
2011-10-25,MMM,1.52,1.61,bmo,7531000000.0,7976914473.0,2025-04-25,2011-09-30,MMM,bmo,False,True
2012-01-26,MMM,1.35,1.31,bmo,7089000000.0,6878955555.0,2025-04-25,2011-12-31,MMM,bmo,False,True
2012-04-24,MMM,1.63,1.49,bmo,7486000000.0,6843030674.0,2025-04-25,2012-03-31,MMM,bmo,False,True
2012-07-26,MMM,1.66,1.65,bmo,7534000000.0,7488614457.0,2025-04-25,2012-06-30,MMM,bmo,False,True
2012-10-23,MMM,1.65,1.65,bmo,7497000000.0,7497000000.0,2025-04-25,2012-09-30,MMM,bmo,False,True
2013-01-24,MMM,1.41,1.41,bmo,7387000000.0,7387000000.0,2025-04-25,2012-12-31,MMM,bmo,False,True
2013-04-25,MMM,1.61,1.65,bmo,7634000000.0,7823664596.0,2025-04-25,2013-03-31,MMM,bmo,False,True
2013-07-25,MMM,1.71,1.7,bmo,7752000000.0,7706666666.0,2025-04-25,2013-06-30,MMM,bmo,False,True
2013-10-24,MMM,1.78,1.75,bmo,7916000000.0,7782584269.0,2025-04-25,2013-09-30,MMM,bmo,False,True
2014-01-30,MMM,1.62,1.62,bmo,7569000000.0,7569000000.0,2025-04-25,2013-12-31,MMM,bmo,False,True
2014-04-24,MMM,1.79,1.8,bmo,7831000000.0,7874748603.0,2025-04-25,2014-03-31,MMM,bmo,False,True
2014-07-24,MMM,1.91,1.91,bmo,8134000000.0,8134000000.0,2025-04-25,2014-06-30,MMM,bmo,False,True
2014-10-23,MMM,1.98,1.96,bmo,8137000000.0,8054808080.0,2025-04-25,2014-09-30,MMM,bmo,False,True
2015-01-27,MMM,1.81,1.8,bmo,7719000000.0,7676353591.0,2025-04-25,2014-12-31,MMM,bmo,False,True
2015-04-23,MMM,1.95,1.92,bmo,7578000000.0,7905697297.0,2025-04-25,2015-03-31,MMM,bmo,False,True
2015-07-23,MMM,2.02,2.0,bmo,7686000000.0,7609900990.0,2025-04-25,2015-06-30,MMM,bmo,False,True
2015-10-22,MMM,2.05,2.0,bmo,7712000000.0,7523902439.0,2025-04-25,2015-09-30,MMM,bmo,False,True
2016-01-26,MMM,1.66,1.63,bmo,7298000000.0,7166108433.0,2025-04-25,2015-12-31,MMM,bmo,False,True
2016-04-26,MMM,2.05,1.92,bmo,7409000000.0,6939160975.0,2025-04-25,2016-03-31,MMM,bmo,False,True
2016-07-26,MMM,2.08,2.07,bmo,7662000000.0,7625163461.0,2025-04-25,2016-06-30,MMM,bmo,False,True
2016-10-25,MMM,2.15,2.14,bmo,7709000000.0,7673144186.0,2025-04-25,2016-09-30,MMM,bmo,False,True
2017-01-24,MMM,1.88,1.87,bmo,7329000000.0,7290015957.0,2025-04-25,2016-12-31,MMM,bmo,False,True
2017-04-25,MMM,2.16,2.06,bmo,7685000000.0,7329212962.0,2025-04-25,2017-03-31,MMM,bmo,False,True
2017-07-25,MMM,2.25,2.54,bmo,7810000000.0,7688914728.0,2025-04-25,2017-06-30,MMM,bmo,False,True
2017-10-24,MMM,2.33,2.21,bmo,8172000000.0,7751124463.0,2025-04-25,2017-09-30,MMM,bmo,False,True
2018-01-25,MMM,2.1,2.03,bmo,7990000000.0,7647571428.0,2025-04-25,2017-12-31,MMM,bmo,False,True
2018-04-24,MMM,2.5,2.5,bmo,8278000000.0,8278000000.0,2025-04-25,2018-03-31,MMM,bmo,False,True
2018-07-24,MMM,2.59,2.58,bmo,8390000000.0,8357606177.0,2025-04-25,2018-06-30,MMM,bmo,False,True
2018-10-23,MMM,2.58,2.7,bmo,8152000000.0,8531162790.0,2025-04-25,2018-09-30,MMM,bmo,False,True
2019-01-29,MMM,2.31,2.28,bmo,7945000000.0,7841818181.0,2025-04-25,2018-12-31,MMM,bmo,False,True
2019-04-25,MMM,2.23,2.5,bmo,7863000000.0,8779762331.0,2025-04-25,2019-03-31,MMM,bmo,False,True
2019-07-25,MMM,2.2,2.05,bmo,8171000000.0,7864107981.0,2025-04-25,2019-06-30,MMM,bmo,False,True
2019-10-24,MMM,2.58,2.49,bmo,7991000000.0,7712244186.0,2025-04-25,2019-09-30,MMM,bmo,False,True
2020-01-28,MMM,2.15,2.1,bmo,8111000000.0,7922372093.0,2025-04-25,2019-12-31,MMM,bmo,False,True
2020-04-28,MMM,2.16,2.03,bmo,8075000000.0,7589004629.0,2025-04-25,2020-03-31,MMM,bmo,False,True
2020-07-28,MMM,1.78,1.8,bmo,7176000000.0,7256629213.0,2025-04-25,2020-06-30,MMM,bmo,False,True
2020-10-27,MMM,2.43,2.26,bmo,8350000000.0,7765843621.0,2025-04-25,2020-09-30,MMM,bmo,False,True
2021-01-26,MMM,2.38,2.15,bmo,8583000000.0,7664818604.0,2025-04-25,2020-12-31,MMM,bmo,False,True
2021-04-27,MMM,2.77,2.29,bmo,8851000000.0,8495830000.0,2025-04-25,2021-03-31,MMM,bmo,False,True
2021-07-27,MMM,2.59,2.28,bmo,8950000000.0,8825040000.0,2025-04-25,2021-06-30,MMM,bmo,False,True
2021-10-26,MMM,2.45,2.2,bmo,8942000000.0,8824480000.0,2025-04-25,2021-09-30,MMM,bmo,False,True
2022-01-25,MMM,2.31,2.01,bmo,8612000000.0,9049660000.0,2025-04-25,2021-12-31,MMM,bmo,False,True
2022-04-26,MMM,2.65,2.31,bmo,8829000000.0,8749120457.0,2025-04-25,2022-03-31,MMM,bmo,False,True
